dataset,variant,method_name,cluster_method,count_success,acc_mean,acc_std,nmi_mean,nmi_std,ari_mean,ari_std,f1_macro_mean,f1_macro_std,fmi_mean,fmi_std,v_measure_mean,v_measure_std,homogeneity_mean,homogeneity_std,completeness_mean,completeness_std
Young,apa_v2_A_random_student,apa_v2_A_random_student,kmeans_known_k,3,0.2781588976839636,0.05332871900698968,0.1465643111342334,0.023187961714980707,0.09666915867279617,0.03525729634159154,0.21197176052901393,0.0351306739156619,0.22132121505146496,0.037693865121379885,0.1465643111342334,0.02318796171498072,0.15418522562712642,0.023370411679716638,0.13972697142061788,0.02326547830994379
Young,apa_v2_A_random_student,apa_v2_A_random_student,leiden_fixed,3,0.24245089416593377,0.011326654088328222,0.1259468309241214,0.01731876504290412,0.018397304403247373,0.008086494426691552,0.13912090119034254,0.006065089243095738,,,,,,,,
Young,apa_v2_B_vicreg,apa_v2_B_vicreg,kmeans_known_k,3,0.2813251245968924,0.046449098287866614,0.13580329393701654,0.019930644926248537,0.08791030349896434,0.026172177396945592,0.20130392103286665,0.029110111436711585,0.2317095220849843,0.04127347784370462,0.1358032939370165,0.019930644926248534,0.13711169555370872,0.01647895656413484,0.13472814935275476,0.02365434956781292
Young,apa_v2_B_vicreg,apa_v2_B_vicreg,leiden_fixed,3,0.23881559659923776,0.0026463287238690817,0.12444908315918927,0.018483111204985393,0.015157977994517381,0.004521403693454135,0.1410431437953568,0.008187734758807706,,,,,,,,
Young,apa_v2_C_ema_teacher,apa_v2_C_ema_teacher,kmeans_known_k,3,0.2854881266490765,0.012446817639637295,0.1398310877476137,0.010177291942743758,0.08668169214695569,0.00755875324260666,0.21763109065860162,0.00986433244354546,0.23109911374048236,0.003879294111864974,0.13983108774761369,0.010177291942743756,0.1409854145135143,0.011563379338165444,0.13871117341213543,0.008830263646032456
Young,apa_v2_C_ema_teacher,apa_v2_C_ema_teacher,leiden_fixed,3,0.24039871005570215,0.0006659523126121633,0.1279444811763483,0.00367825692993213,0.020322864477050628,0.004600453224142873,0.1390491745669282,0.012444092601424123,,,,,,,,
Young,apa_v2_D_proto,apa_v2_D_proto,kmeans_known_k,3,0.31158018176487834,0.022124697722369104,0.1720840278457785,0.03959330666522154,0.1327677221867912,0.02764876776149999,0.21714194133530612,0.033536199168163736,0.2992768004760769,0.039922525250430184,0.1720840278457785,0.03959330666522153,0.1699079945982646,0.05429206450842177,0.17678803356912542,0.02488263841844203
Young,apa_v2_D_proto,apa_v2_D_proto,leiden_fixed,3,0.24626209322779244,0.017509931422730416,0.14700794405550166,0.04770627532048956,0.02966572955044365,0.02240456418497678,0.15389137882582324,0.02406126959341822,,,,,,,,
Young,apa_v2_E_full_generator,apa_v2_E_full_generator,kmeans_known_k,3,0.35960128994429785,0.019382982626429086,0.17223676272818236,0.035646786756843206,0.168780552432691,0.045512634228342085,0.21620894308566663,0.02177306383577382,0.3207335000007478,0.0166023134145652,0.17223676272818236,0.03564678675684322,0.1666190501185425,0.041495911017218313,0.17883516014660686,0.02846276721812094
Young,apa_v2_E_full_generator,apa_v2_E_full_generator,leiden_fixed,3,0.2433304016417473,0.007964926401395291,0.14583721547024614,0.02869723991057683,0.03157440789542301,0.0044065940415412355,0.14859473163523587,0.017559777276441552,,,,,,,,
