source_root,dataset_group,dataset,method,variant,seed,epochs,mix_mode,gate_mode,acc,nmi,ari,f1_macro,fmi,delta_ari_vs_none,delta_ari_vs_fixed,path
rg_phase1_seeds2024_3407_e80,negative,worm_neuron_cell,rg_far,rg_nm_v1_far,3407,80,far,constant,0.7353081700907788,0.6579824506300773,0.4778652568478279,0.6824545428484453,0.5781065621422483,0.05038542383891986,-0.01063788026576401,results/formal/rg_phase1_seeds2024_3407_e80/worm_neuron_cell/rg_far/seed3407
rg_phase1_seeds2024_3407_e80,negative,worm_neuron_cell,rg_fixed,rg_nm_v1_fixed,2024,80,fixed,constant,0.7200191113234592,0.6245494033923737,0.4865182754149697,0.6678710277117014,0.5686881881094068,0.0648036141035937,0.0,results/formal/rg_phase1_seeds2024_3407_e80/worm_neuron_cell/rg_fixed/seed2024
rg_phase1_seeds2024_3407_e80,negative,worm_neuron_cell,rg_fixed,rg_nm_v1_fixed,3407,80,fixed,constant,0.6994744386048733,0.6344985489576345,0.4885031371135919,0.6965085115293566,0.5714699867815752,0.06102330410468387,0.0,results/formal/rg_phase1_seeds2024_3407_e80/worm_neuron_cell/rg_fixed/seed3407
rg_phase1_seeds2024_3407_e80,negative,worm_neuron_cell,rg_mutual,rg_nm_v1_mutual,2024,80,mutual,topology,0.6600573339703775,0.6073402264604867,0.38361503798235624,0.6135466673960741,0.4946727912696559,-0.03809962332901978,-0.10290323743261348,results/formal/rg_phase1_seeds2024_3407_e80/worm_neuron_cell/rg_mutual/seed2024
rg_phase1_seeds2024_3407_e80,negative,worm_neuron_cell,rg_mutual,rg_nm_v1_mutual,3407,80,mutual,topology,0.6256569517439082,0.6299459004205847,0.393641465250908,0.6004811696874485,0.5022164485343873,-0.03383836775800003,-0.0948616718626839,results/formal/rg_phase1_seeds2024_3407_e80/worm_neuron_cell/rg_mutual/seed3407
rg_phase1_seeds2024_3407_e80,negative,worm_neuron_cell,rg_none,rg_nm_v1_none,2024,80,none,none,0.6880076445293837,0.6581047180737287,0.421714661311376,0.7075785828369108,0.542278041872605,0.0,-0.0648036141035937,results/formal/rg_phase1_seeds2024_3407_e80/worm_neuron_cell/rg_none/seed2024
rg_phase1_seeds2024_3407_e80,negative,worm_neuron_cell,rg_none,rg_nm_v1_none,3407,80,none,none,0.668179646440516,0.6449366185022957,0.427479833008908,0.7153158440796036,0.520096292896516,0.0,-0.06102330410468387,results/formal/rg_phase1_seeds2024_3407_e80/worm_neuron_cell/rg_none/seed3407
rg_phase1_seeds2024_3407_e80,negative,worm_neuron_cell,rg_random,rg_nm_v1_random,2024,80,random,constant,0.6817964644051601,0.6552548515088273,0.4315484687399871,0.6102835193599098,0.5561510477157772,0.009833807428611063,-0.054969806674982635,results/formal/rg_phase1_seeds2024_3407_e80/worm_neuron_cell/rg_random/seed2024
rg_phase1_seeds2024_3407_e80,negative,worm_neuron_cell,rg_random,rg_nm_v1_random,3407,80,random,constant,0.6782130912565695,0.6168899839956717,0.4806394211134326,0.5577508567629954,0.5730062312134214,0.05315958810452459,-0.007863716000159282,results/formal/rg_phase1_seeds2024_3407_e80/worm_neuron_cell/rg_random/seed3407
rg_phase1_seeds2024_3407_e80,negative,worm_neuron_cell,rg_reliability,rg_nm_v1_reliability,2024,80,reliability,topology,0.5413282369804109,0.5595041340915172,0.3200631050734612,0.4630308794138281,0.4502967754088786,-0.10165155623791483,-0.16645517034150853,results/formal/rg_phase1_seeds2024_3407_e80/worm_neuron_cell/rg_reliability/seed2024
rg_phase1_seeds2024_3407_e80,negative,worm_neuron_cell,rg_reliability,rg_nm_v1_reliability,3407,80,reliability,topology,0.7319636884854276,0.6377547698366243,0.47951341962204735,0.7567184584007833,0.56647864294309,0.05203358661313934,-0.008989717491544535,results/formal/rg_phase1_seeds2024_3407_e80/worm_neuron_cell/rg_reliability/seed3407
